sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:test,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Aggregatibacter segnis,Aggregatibacter segnis detected,-1,,Organism ID,0.50,APPROVED,EQUAL,vvcb,1693310314387,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310306923,
Hafnia alvei,Hafnia alvei detected,-1,,Organism ID,0.29,APPROVED,EQUAL,vvcb,1693313871109,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313865234,
Streptococcus sanguinis,Streptococcus sanguinis detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Haemolytic Streptococcus (group B),Haemolytic Streptococcus (group B) detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693310714478,4047151,Beta-hemolytic Streptococcus culture,Measurement,MAPS_TO,,<auto>,1693307157418,
Pseudomonas azotoformans,Pseudomonas azotoformans detected,-1,,Organism ID,0.46,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Staphylococcus aureus,Staphylococcus aureus detected,-1,,Organism ID,0.71,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Coagulase Negative Staphylococci,Coagulase Negative Staphylococci detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Burkholderia cepacia Complex,Burkholderia cepacia Complex detected,-1,,Organism ID,0.73,APPROVED,EQUAL,vvcb,1693310419419,37396491,Burkholderia cepacia culture,Measurement,MAPS_TO,,<auto>,1693307157574,
Streptococcus parasanguinis,Streptococcus parasanguinis detected,-1,,Organism ID,0.50,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Pseudomonas monteilii,Pseudomonas monteilii detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Pichia species,Pichia species detected,-1,,Organism ID,0.62,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Streptococcus anginosus,Streptococcus anginosus detected,-1,,Organism ID,0.54,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Alcaligenes faecalis,Alcaligenes faecalis detected,-1,,Organism ID,0.52,APPROVED,EQUAL,vvcb,1693310314387,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310306923,
Enterococcus species,Enterococcus species detected,-1,,Organism ID,0.60,APPROVED,EQUAL,vvcb,1693310668513,37396493,Enterococcus culture,Measurement,MAPS_TO,,vvcb,1693310662770,
Yeasts,Yeasts detected,-1,,Organism ID,0.65,APPROVED,EQUAL,vvcb,1693312215177,4045152,Yeast detection,Measurement,MAPS_TO,,<auto>,1693307158215,
Presumptive Coagulase negative Staphylococci,Presumptive Coagulase negative Staphylococci detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Bacillus licheniformis,Bacillus licheniformis detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693310391558,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310382115,
Enterobacter hormaechei,Enterobacter hormaechei detected,-1,,Organism ID,0.36,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Vibrio cholerae,Vibrio cholerae detected,-1,,Organism ID,0.62,APPROVED,EQUAL,vvcb,1693314176180,4045657,Vibrio species culture,Measurement,MAPS_TO,,vvcb,1693314173810,
Pantoea sp,Pantoea sp detected,-1,,Organism ID,0.35,APPROVED,EQUAL,vvcb,1693314002026,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313995789,
Trichophyton erinacei,Trichophyton erinacei detected,-1,,Organism ID,0.47,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Candida dubliniensis,Candida dubliniensis detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Presumptive Mycobacterium species,Presumptive Mycobacterium species detected,-1,,Organism ID,0.58,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Bacillus infantis,Bacillus infantis detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693310391558,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310382115,
Streptococcus mitis_oralis,Streptococcus mitis_oralis detected,-1,,Organism ID,0.36,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Myroides sp.,Myroides sp. detected,-1,,Organism ID,0.29,APPROVED,EQUAL,vvcb,1693313916439,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313911866,
Clostridium cadaveris,Clostridium cadaveris detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Streptococcus canis,Streptococcus canis detected,-1,,Organism ID,0.59,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Actinotignum species,Actinotignum species detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693309994754,4045480,Actinomycetes species culture,Measurement,MAPS_TO,,vvcb,1693309993301,
Pseudomonas putida,Pseudomonas putida detected,-1,,Organism ID,0.49,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Acinetobacter ursingii,Acinetobacter ursingii detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,vvcb,1693309803696,
Acinetobacter radioresistens,Acinetobacter radioresistens detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,<auto>,1693307159152,
Presumptive Gram negative cocci,Presumptive Gram negative cocci detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Candida guilliermondii,Candida guilliermondii detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Ochrobactrum anthropi,Ochrobactrum anthropi detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693313983333,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313977246,
Globicatella sulfidifaciens,Globicatella sulfidifaciens detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Veillonella parvula,Veillonella parvula detected,-1,,Organism ID,0.28,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Corynebacterium coyleae,Corynebacterium coyleae detected,-1,,Organism ID,0.52,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Bacteroides vulgatus,Bacteroides vulgatus detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310274841,
Salmonella agona,Salmonella agona detected,-1,,Organism ID,0.46,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Staphylococcus argenteus,Staphylococcus argenteus detected,-1,,Organism ID,0.54,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Salmonella sp,Salmonella sp detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Peptoniphilus species,Peptoniphilus species detected,-1,,Organism ID,0.59,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Actinomyces oris,Actinomyces oris detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693309877260,4045480,Actinomycetes species culture,Measurement,MAPS_TO,,vvcb,1693309861919,
Staphylococcus caprae,Staphylococcus caprae detected,-1,,Organism ID,0.54,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Pseudomonas nitroreducens,Pseudomonas nitroreducens detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Staphylococcus simulans,Staphylococcus simulans detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Listeria monocytogenes,Listeria monocytogenes detected,-1,,Organism ID,0.69,APPROVED,EQUAL,vvcb,1693313871109,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313865234,
Methicillin Resistant Staph. aureus,Methicillin Resistant Staph. aureus detected,-1,,Organism ID,0.55,APPROVED,EQUAL,vvcb,1693313877085,4046599,Methicillin resistant Staphylococcus aureus culture,Measurement,MAPS_TO,,<auto>,1693307160309,
Oligella urethralis,Oligella urethralis detected,-1,,Organism ID,0.36,APPROVED,EQUAL,vvcb,1693314002026,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313995789,
Proteus vulgaris,Proteus vulgaris detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Clostridium clostridiforme,Clostridium clostridiforme detected,-1,,Organism ID,0.62,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Acinetobacter pittii,Acinetobacter pittii detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,vvcb,1693309789617,
Streptococcus constellatus,Streptococcus constellatus detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Enterobacter ludwigii,Enterobacter ludwigii detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Streptococcus pneumoniae,Streptococcus pneumoniae detected,-1,,Organism ID,0.78,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Aspergillus fumigatus complex,Aspergillus fumigatus complex detected,-1,,Organism ID,0.73,APPROVED,EQUAL,vvcb,1693310219188,4046714,Aspergillus species culture,Measurement,MAPS_TO,,vvcb,1693310206624,
Streptococcus pyogenes (Group A),Streptococcus pyogenes (Group A) detected,-1,,Organism ID,0.60,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Citrobacter braakii,Citrobacter braakii detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693313542919,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313531177,
Citrobacter sp.,Citrobacter sp. detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693313542919,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313531177,
Shigella sonnei,Shigella sonnei detected,-1,,Organism ID,0.62,APPROVED,EQUAL,vvcb,1693314137400,4047329,Shigella species culture,Measurement,MAPS_TO,,vvcb,1693314130182,
Candida krusei,Candida krusei detected,-1,,Organism ID,0.31,APPROVED,EQUAL,vvcb,1693310523466,4047152,Candida species culture,Measurement,MAPS_TO,,vvcb,1693310509389,
Escherichia coli,Escherichia coli detected,-1,,Organism ID,0.95,APPROVED,EQUAL,vvcb,1693310692702,4005687,Escherichia coli detection,Measurement,MAPS_TO,,<auto>,1693307161387,
Staphylococcus epidermidis,Staphylococcus epidermidis detected,-1,,Organism ID,0.49,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Enterococcus faecium,Enterococcus faecium detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693310668513,37396493,Enterococcus culture,Measurement,MAPS_TO,,vvcb,1693310662770,
Trichophyton rubrum,Trichophyton rubrum detected,-1,,Organism ID,0.81,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Corynebacterium macginleyi,Corynebacterium macginleyi detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Enterococcus raffinosus,Enterococcus raffinosus detected,-1,,Organism ID,0.47,APPROVED,EQUAL,vvcb,1693310668513,37396493,Enterococcus culture,Measurement,MAPS_TO,,vvcb,1693310662770,
Enterobacter species,Enterobacter species detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Campylobacter sp.,Campylobacter sp. detected,-1,,Organism ID,0.62,APPROVED,EQUAL,vvcb,1693310461758,4045656,Campylobacter species culture,Measurement,MAPS_TO,,vvcb,1693310460542,
Klebsiella oxytoca,Klebsiella oxytoca detected,-1,,Organism ID,0.25,APPROVED,EQUAL,vvcb,1693313697576,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313685138,
Acinetobacter sp,Acinetobacter sp detected,-1,,Organism ID,0.50,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,<auto>,1693307161950,
Pasteurella stomatis,Pasteurella stomatis detected,-1,,Organism ID,0.46,APPROVED,EQUAL,vvcb,1693313755853,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313748826,
Enterobacter bugandensis,Enterobacter bugandensis detected,-1,,Organism ID,0.39,APPROVED,EQUAL,vvcb,1693310597533,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310588450,
Aggregatibacter aphrophilus,Aggregatibacter aphrophilus detected,-1,,Organism ID,0.49,APPROVED,EQUAL,vvcb,1693310314387,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310306923,
Haemolytic Streptococcus (group G ),Haemolytic Streptococcus (group G ) detected,-1,,Organism ID,0.49,APPROVED,EQUAL,vvcb,1693310714478,4047151,Beta-hemolytic Streptococcus culture,Measurement,MAPS_TO,,<auto>,1693307162544,
Acinetobacter lactucae,Acinetobacter lactucae detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,vvcb,1693309789617,
Cutibacterium acnes,Cutibacterium acnes detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Bacillus mojavensis,Bacillus mojavensis detected,-1,,Organism ID,0.27,APPROVED,EQUAL,vvcb,1693310391558,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310382115,
Pseudomonas stutzeri,Pseudomonas stutzeri detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Pseudomonas aeruginosa,Pseudomonas aeruginosa detected,-1,,Organism ID,0.75,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Neisseria gonorrhoeae,Neisseria gonorrhoeae detected,-1,,Organism ID,0.82,APPROVED,EQUAL,vvcb,1693313933720,4045478,Neisseria gonorrhoeae culture,Measurement,MAPS_TO,,vvcb,1693313933042,
Mixed growth. No predominant organism.,Mixed growth. No predominant organism. detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693313894724,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313894140,
Anaerobes,Anaerobes detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693310333965,37399248,Anaerobic culture,Measurement,MAPS_TO,,<auto>,1693307163065,
Salmonella schwarzengrund,Salmonella schwarzengrund detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693312261428,4046244,Salmonella species culture,Measurement,MAPS_TO,,vvcb,1693312255152,
Acinetobacter baumannii,Acinetobacter baumannii detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693309809771,37393378,Acinetobacter species screening test,Measurement,MAPS_TO,,vvcb,1693309789617,
Aspergillus flavus complex,Aspergillus flavus complex detected,-1,,Organism ID,0.59,APPROVED,EQUAL,vvcb,1693310219188,4046714,Aspergillus species culture,Measurement,MAPS_TO,,vvcb,1693310206624,
Agrobacterium radiobacter,Agrobacterium radiobacter detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693310314387,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310306923,
Bacteroides pyogenes,Bacteroides pyogenes detected,-1,,Organism ID,0.45,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310274841,
Presumptive Streptococci / Enterococci,Presumptive Streptococci / Enterococci detected,-1,,Organism ID,0.35,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Serratia marcescens,Serratia marcescens detected,-1,,Organism ID,0.35,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Moraxella catarrhalis,Moraxella catarrhalis detected,-1,,Organism ID,0.28,APPROVED,EQUAL,vvcb,1693313916439,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313911866,
Corynebacterium bovis,Corynebacterium bovis detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Anaerococcus lactolyticus,Anaerococcus lactolyticus detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693310359283,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310349855,
Corynebacterium otitidis,Corynebacterium otitidis detected,-1,,Organism ID,0.52,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Lactobacillus rhamnosus,Lactobacillus rhamnosus detected,-1,,Organism ID,0.34,APPROVED,EQUAL,vvcb,1693313871109,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313865234,
Streptococcus agalactiae (Group B),Streptococcus agalactiae (Group B) detected,-1,,Organism ID,0.59,APPROVED,EQUAL,vvcb,1693312206149,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693312198147,
Neisseria meningitidis,Neisseria meningitidis detected,-1,,Organism ID,0.73,APPROVED,EQUAL,vvcb,1693313937291,4007961,Neisseria meningitidis antigen assay,Measurement,MAPS_TO,,vvcb,1693313936612,
Finegoldia magna,Finegoldia magna detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Proteus species,Proteus species detected,-1,,Organism ID,0.54,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Pasteurella canis,Pasteurella canis detected,-1,,Organism ID,0.43,APPROVED,EQUAL,vvcb,1693313755853,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313748826,
Mycobacterium intracellulare,Mycobacterium intracellulare detected,-1,,Organism ID,0.68,APPROVED,EQUAL,vvcb,1693310806466,4044967,Mycobacterium identification,Measurement,MAPS_TO,,vvcb,1693310795976,
Bacteroides ovatus,Bacteroides ovatus detected,-1,,Organism ID,0.43,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310274841,
Proteus mirabilis,Proteus mirabilis detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Peptostreptococcus anaerobius,Peptostreptococcus anaerobius detected,-1,,Organism ID,0.48,APPROVED,EQUAL,vvcb,1693314035938,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314030657,
Serratia species,Serratia species detected,-1,,Organism ID,0.60,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Prevotella sp.,Prevotella sp. detected,-1,,Organism ID,0.33,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Bacillus pumilus,Bacillus pumilus detected,-1,,Organism ID,0.38,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,<auto>,1693307164435,
Corynebacterium amycolatum,Corynebacterium amycolatum detected,-1,,Organism ID,0.53,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Staphylococcus pettenkoferi,Staphylococcus pettenkoferi detected,-1,,Organism ID,0.41,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Scopulariopsis brevicaulis,Scopulariopsis brevicaulis detected,-1,,Organism ID,0.27,APPROVED,EQUAL,vvcb,1693314238313,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314226616,
Staphylococcus warneri,Staphylococcus warneri detected,-1,,Organism ID,0.47,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Staphylococcus hominis,Staphylococcus hominis detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Pasteurella multocida,Pasteurella multocida detected,-1,,Organism ID,0.73,APPROVED,EQUAL,vvcb,1693313755853,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313748826,
Clostridium cochlearium,Clostridium cochlearium detected,-1,,Organism ID,0.51,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Vancomycin RESISTANT Enterococci,Vancomycin RESISTANT Enterococci detected,-1,,Organism ID,0.67,APPROVED,EQUAL,vvcb,1693312233558,4304958,Vancomycin resistant Enterococcus culture,Measurement,MAPS_TO,,<auto>,1693307164903,
Janibacter hoylei,Janibacter hoylei detected,-1,,Organism ID,0.34,APPROVED,EQUAL,vvcb,1693313697576,4036356,Detection of bacteria,Measurement,MAPS_TO,,<auto>,1693307165325,
Acremonium sp.,Acremonium sp. detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693309838012,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693309831735,
Bergeyella zoohelcum,Bergeyella zoohelcum detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693310441777,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310428904,
Actinomyces neuii,Actinomyces neuii detected,-1,,Organism ID,0.34,APPROVED,EQUAL,vvcb,1693309877260,4045480,Actinomycetes species culture,Measurement,MAPS_TO,,vvcb,1693309861919,
Haemophilus parainfluenzae,Haemophilus parainfluenzae detected,-1,,Organism ID,0.70,APPROVED,EQUAL,vvcb,1693313842358,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313836769,
Staphylococcus auricularis,Staphylococcus auricularis detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693312120606,4046251,Staphylococcus species culture,Measurement,MAPS_TO,,vvcb,1693312114407,
Parabacteroides distasonis,Parabacteroides distasonis detected,-1,,Organism ID,0.40,APPROVED,EQUAL,vvcb,1693314002026,4036356,Detection of bacteria,Measurement,MAPS_TO,,<auto>,1693307165638,
Mycobacterium tuberculosis,Mycobacterium tuberculosis detected,-1,,Organism ID,0.82,APPROVED,EQUAL,vvcb,1693310806466,4044967,Mycobacterium identification,Measurement,MAPS_TO,,vvcb,1693310795976,
Actinomyces urogenitalis,Actinomyces urogenitalis detected,-1,,Organism ID,0.37,APPROVED,EQUAL,vvcb,1693309877260,4045480,Actinomycetes species culture,Measurement,MAPS_TO,,vvcb,1693309861919,
Citrobacter koseri,Citrobacter koseri detected,-1,,Organism ID,0.41,APPROVED,EQUAL,vvcb,1693313542919,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313531177,
Achromobacter xylosoxidans,Achromobacter xylosoxidans detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693309809771,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693309757298,
Chryseobacterium arthrosphaerae,Chryseobacterium arthrosphaerae detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693313542919,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313531177,
Aeromonas veronii,Aeromonas veronii detected,-1,,Organism ID,0.42,APPROVED,EQUAL,vvcb,1693310165224,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310154691,
Mycobacterium avium complex,Mycobacterium avium complex detected,-1,,Organism ID,0.68,APPROVED,EQUAL,vvcb,1693310806466,4044967,Mycobacterium identification,Measurement,MAPS_TO,,vvcb,1693310795976,
Clostridium sp.,Clostridium sp. detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693313666763,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313660560,
Mucor species,Mucor species detected,-1,,Organism ID,0.58,APPROVED,EQUAL,vvcb,1693313916439,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313911866,
Prevotella buccalis,Prevotella buccalis detected,-1,,Organism ID,0.30,APPROVED,EQUAL,vvcb,1693314085164,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693314079154,
Pantoea agglomerans,Pantoea agglomerans detected,-1,,Organism ID,0.44,APPROVED,EQUAL,vvcb,1693314002026,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313995789,
Neisseria species,Neisseria species detected,-1,,Organism ID,0.56,APPROVED,EQUAL,vvcb,1693313983333,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693313977246,
Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron detected,-1,,Organism ID,0.32,APPROVED,EQUAL,vvcb,1693310280856,4036356,Detection of bacteria,Measurement,MAPS_TO,,vvcb,1693310274841,
